DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2000,20.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2001,20.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2004,20.3,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2005,19.8,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2006,19.8,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2007,19.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2008,19.8,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2009,19.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2010,19.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2011,18.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2012,18.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2013,18.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2014,18.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2015,18.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2016,18.4,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2017,18.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2018,19.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2019,19.3,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2020,19.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2021,19.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2022,19.8,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2023,20.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Spain,2024,20.3,,
