DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2000,23.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2001,23.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2004,22.8,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2005,23.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2006,23.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2007,23.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2008,22.4,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2009,22.3,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2010,22.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2011,21.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2012,22.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2013,22.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2014,22.6,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2015,22.6,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2016,22.6,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2017,22.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2018,22.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2019,22.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2020,22.3,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2021,22.4,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2022,22.0,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2023,21.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,France,2024,21.8,,
