DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2000,22.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2001,21.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2004,19.9,b,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2005,20.0,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2006,20.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2007,20.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2008,20.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2009,20.3,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2010,20.2,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2011,19.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2012,19.9,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2013,19.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2014,19.8,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2015,19.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2016,19.1,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2017,19.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2018,19.3,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2019,19.5,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2020,19.7,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2021,19.6,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2022,19.8,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2023,20.4,,
ESTAT:SDG_10_50(1.0),14/11/25 23:00:00,Annual,Share of national equivalised income,Italy,2024,20.1,,
