01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Alemanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,89.70
1996,Alemanha,Bebidas alcoólicas e tabaco,,,,,56.80
1996,Alemanha,Bens e serviços diversos,,,,,76.20
1996,Alemanha,Comunicações,,,,,162.00
1996,Alemanha,Educação,,,,,63.30
1996,Alemanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,67.00
1996,Alemanha,"Lazer, recreação e cultura",,,,,85.90
1996,Alemanha,Produtos alimentares e bebidas não alcoólicas,,,,,76.00
1996,Alemanha,Restaurantes e hotéis,,,,,69.60
1996,Alemanha,Saúde,,,,,69.90
1996,Alemanha,Total,,,,,75.70
1996,Alemanha,Transportes,,,,,69.30
1996,Alemanha,Vestuário e calçado,,,,,92.10
1996,Áustria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,80.47
1996,Áustria,Bebidas alcoólicas e tabaco,,,,,60.44
1996,Áustria,Bens e serviços diversos,,,,,65.96
1996,Áustria,Comunicações,,,,,124.44
1996,Áustria,Educação,,,,,52.97
1996,Áustria,"Habitação, água, electricidade, gás e outros combustíveis",,,,,59.19
1996,Áustria,"Lazer, recreação e cultura",,,,,88.43
1996,Áustria,Produtos alimentares e bebidas não alcoólicas,,,,,67.94
1996,Áustria,Restaurantes e hotéis,,,,,62.99
1996,Áustria,Saúde,,,,,67.25
1996,Áustria,Total,,,,,71.77
1996,Áustria,Transportes,,,,,73.84
1996,Áustria,Vestuário e calçado,,,,,93.51
1996,Bélgica,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,76.37
1996,Bélgica,Bebidas alcoólicas e tabaco,,,,,57.77
1996,Bélgica,Bens e serviços diversos,,,,,65.12
1996,Bélgica,Comunicações,,,,,130.15
1996,Bélgica,Educação,,,,x,
1996,Bélgica,"Habitação, água, electricidade, gás e outros combustíveis",,,,,61.02
1996,Bélgica,"Lazer, recreação e cultura",,,,,86.63
1996,Bélgica,Produtos alimentares e bebidas não alcoólicas,,,,,66.23
1996,Bélgica,Restaurantes e hotéis,,,,,60.65
1996,Bélgica,Saúde,,,,,84.70
1996,Bélgica,Total,,,,,70.48
1996,Bélgica,Transportes,,,,,66.58
1996,Bélgica,Vestuário e calçado,,,,,88.27
1996,Bulgária,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1996,Bulgária,Bebidas alcoólicas e tabaco,,,,x,
1996,Bulgária,Bens e serviços diversos,,,,x,
1996,Bulgária,Comunicações,,,,x,
1996,Bulgária,Educação,,,,x,
1996,Bulgária,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1996,Bulgária,"Lazer, recreação e cultura",,,,x,
1996,Bulgária,Produtos alimentares e bebidas não alcoólicas,,,,x,
1996,Bulgária,Restaurantes e hotéis,,,,x,
1996,Bulgária,Saúde,,,,x,
1996,Bulgária,Total,,,,x,
1996,Bulgária,Transportes,,,,x,
1996,Bulgária,Vestuário e calçado,,,,x,
1996,Chéquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,100.30
1996,Chéquia,Bebidas alcoólicas e tabaco,,,,,44.20
1996,Chéquia,Bens e serviços diversos,,,,,54.20
1996,Chéquia,Comunicações,,,,,68.80
1996,Chéquia,Educação,,,,,43.70
1996,Chéquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,25.90
1996,Chéquia,"Lazer, recreação e cultura",,,,,77.30
1996,Chéquia,Produtos alimentares e bebidas não alcoólicas,,,,,69.60
1996,Chéquia,Restaurantes e hotéis,,,,,53.30
1996,Chéquia,Saúde,,,,,40.00
1996,Chéquia,Total,,,,,58.80
1996,Chéquia,Transportes,,,,,72.40
1996,Chéquia,Vestuário e calçado,,,,,122.10
1996,Chipre,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,89.38
1996,Chipre,Bebidas alcoólicas e tabaco,,,,,37.30
1996,Chipre,Bens e serviços diversos,,,,,63.95
1996,Chipre,Comunicações,,,,,197.63
1996,Chipre,Educação,,,,,52.12
1996,Chipre,"Habitação, água, electricidade, gás e outros combustíveis",,,,,47.19
1996,Chipre,"Lazer, recreação e cultura",,,,,88.70
1996,Chipre,Produtos alimentares e bebidas não alcoólicas,,,,,53.00
1996,Chipre,Restaurantes e hotéis,,,,,54.44
1996,Chipre,Saúde,,,,,59.54
1996,Chipre,Total,,,,,66.81
1996,Chipre,Transportes,,,,,76.81
1996,Chipre,Vestuário e calçado,,,,,116.47
