01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Alemanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.8
1996,Alemanha,Bebidas alcoólicas e tabaco,,,,,0.8
1996,Alemanha,Bens e serviços diversos,,,,,0.1
1996,Alemanha,Comunicações,,,,,0.9
1996,Alemanha,Educação,,,,,4.7
1996,Alemanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,2.0
1996,Alemanha,"Lazer, recreação e cultura",,,,,-4.1
1996,Alemanha,Produtos alimentares e bebidas não alcoólicas,,,,,0.6
1996,Alemanha,Restaurantes e hotéis,,,,,1.1
1996,Alemanha,Saúde,,,,,0.9
1996,Alemanha,Total,,,,,0.6
1996,Alemanha,Transportes,,,,,2.5
1996,Alemanha,Vestuário e calçado,,,,,0.7
1996,Áustria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.3
1996,Áustria,Bebidas alcoólicas e tabaco,,,,,1.5
1996,Áustria,Bens e serviços diversos,,,,,0.9
1996,Áustria,Comunicações,,,,,2.9
1996,Áustria,Educação,,,,,6.8
1996,Áustria,"Habitação, água, electricidade, gás e outros combustíveis",,,,,5.3
1996,Áustria,"Lazer, recreação e cultura",,,,,-0.2
1996,Áustria,Produtos alimentares e bebidas não alcoólicas,,,,,-0.1
1996,Áustria,Restaurantes e hotéis,,,,,2.6
1996,Áustria,Saúde,,,,,0.7
1996,Áustria,Total,,,,,1.8
1996,Áustria,Transportes,,,,,4.0
1996,Áustria,Vestuário e calçado,,,,,-1.4
1996,Bélgica,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.6
1996,Bélgica,Bebidas alcoólicas e tabaco,,,,,2.0
1996,Bélgica,Bens e serviços diversos,,,,,1.4
1996,Bélgica,Comunicações,,,,,6.3
1996,Bélgica,Educação,,,,x,
1996,Bélgica,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.4
1996,Bélgica,"Lazer, recreação e cultura",,,,,0.8
1996,Bélgica,Produtos alimentares e bebidas não alcoólicas,,,,,0.6
1996,Bélgica,Restaurantes e hotéis,,,,,1.9
1996,Bélgica,Saúde,,,,,1.1
1996,Bélgica,Total,,,,,1.8
1996,Bélgica,Transportes,,,,,3.6
1996,Bélgica,Vestuário e calçado,,,,,0.7
1996,Bulgária,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1996,Bulgária,Bebidas alcoólicas e tabaco,,,,x,
1996,Bulgária,Bens e serviços diversos,,,,x,
1996,Bulgária,Comunicações,,,,x,
1996,Bulgária,Educação,,,,x,
1996,Bulgária,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1996,Bulgária,"Lazer, recreação e cultura",,,,x,
1996,Bulgária,Produtos alimentares e bebidas não alcoólicas,,,,x,
1996,Bulgária,Restaurantes e hotéis,,,,x,
1996,Bulgária,Saúde,,,,x,
1996,Bulgária,Total,,,,x,
1996,Bulgária,Transportes,,,,x,
1996,Bulgária,Vestuário e calçado,,,,x,
1996,Chéquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,4.4
1996,Chéquia,Bebidas alcoólicas e tabaco,,,,d,9.8
